matter_class,eos_id,family_group_id,amplitude,build_ok,physical_trace_ok,minimum_mass_msun,maximum_mass_msun,radius_1p4_km,covers_ml_mass_grid_1_to_2,passes_mmax_floor,passes_mmax_ceiling,passes_r14_screen,acceptable,reason
quark,CFL4,Q_CFL4,-0.02,True,True,0.0528608973745545,2.1255248409537675,11.248905523629098,True,True,True,True,True,
quark,CFL4,Q_CFL4,0.0,True,True,0.0529788744283097,2.1431319808133047,11.289762280960565,True,True,True,True,True,
quark,CFL4,Q_CFL4,0.01,True,True,0.0530332231543489,2.1520238665553237,11.309211224197888,True,True,True,True,True,
quark,CFL4,Q_CFL4,0.02,True,True,0.0530847946581004,2.1609650282445982,11.32802053175415,True,True,True,True,True,
quark,CFL4,Q_CFL4,0.03,True,True,0.0531337964761743,2.1699318537835826,11.346202062669777,True,True,True,True,True,
quark,CFL4,Q_CFL4,0.04,True,True,0.05318041599209,2.17896297753678,11.363766727381494,True,True,True,True,True,
quark,CFL4,Q_CFL4,0.05,True,True,0.0532248228256663,2.1880463533175174,11.380692977625944,True,True,True,True,True,
quark,CFL4,Q_CFL4,0.09,True,True,0.0533832014669121,2.224758094977767,11.442219732412235,True,True,True,True,True,
quark,CFL5,Q_CFL5,-0.05,True,True,0.0582355893132028,2.775744416162819,12.77536842518347,True,True,True,True,True,
quark,CFL5,Q_CFL5,-0.02,True,True,0.0582854832149109,2.82831639152708,12.799165625366085,True,True,True,True,True,
quark,CFL5,Q_CFL5,0.0,True,True,0.0583170555395261,2.863328669479209,12.813411038088542,True,True,True,True,True,
quark,CFL5,Q_CFL5,0.01,True,True,0.0583323661432382,2.8807672444100083,12.82011734683153,True,True,True,True,True,
quark,CFL5,Q_CFL5,0.02,True,True,0.0583473726853933,2.898184845474425,12.826571385066927,True,True,True,True,True,
quark,CFL5,Q_CFL5,0.03,True,True,0.0583620843925904,2.915590093793901,12.8327898081277,True,True,True,True,True,
quark,CFL5,Q_CFL5,0.04,True,True,0.0583765101121812,2.932932101173668,12.83878768053138,True,True,True,True,True,
quark,CFL5,Q_CFL5,0.05,True,True,0.0583906583317142,2.9502081452966977,12.844578674626826,True,True,True,True,True,
quark,CFL5,Q_CFL5,0.09,True,True,0.0584446343807125,3.0188250363861946,12.865907204937107,True,True,False,True,False,Mmax>3.0
quark,CFL6,Q_CFL6,-0.05,True,True,0.0506632911701852,2.5699884953788152,12.380219273495904,True,True,True,True,True,
quark,CFL6,Q_CFL6,-0.02,True,True,0.0507285561863793,2.6187344713516767,12.419742043489537,True,True,True,True,True,
quark,CFL6,Q_CFL6,0.0,True,True,0.0507689470632912,2.6513806031013027,12.442687550705514,True,True,True,True,True,
quark,CFL6,Q_CFL6,0.01,True,True,0.0507882881653751,2.6677702466326534,12.453290107426088,True,True,True,True,True,
quark,CFL6,Q_CFL6,0.02,True,True,0.0508070921843272,2.6841421352839125,12.463374591573064,True,True,True,True,True,
quark,CFL6,Q_CFL6,0.03,True,True,0.0508253817248309,2.7005306340686825,12.472981817436551,True,True,True,True,True,
quark,CFL6,Q_CFL6,0.04,True,True,0.0508431781122373,2.716948189057514,12.482148367878132,True,True,True,True,True,
quark,CFL6,Q_CFL6,0.05,True,True,0.050860501483804,2.733336648540451,12.490907089826822,True,True,True,True,True,
quark,CFL6,Q_CFL6,0.09,True,True,0.0509254304324042,2.7988090113295576,12.522413510356472,True,True,True,True,True,
quark,CFL7,Q_CFL7,-0.05,True,True,0.0502750412004001,1.9964345617833137,10.503764087068571,False,False,True,True,False,1-2 Msun support; Mmax<2.0
quark,CFL7,Q_CFL7,-0.02,True,True,0.0503789388134461,2.00387297020699,10.5256750599871,True,True,True,True,True,
quark,CFL7,Q_CFL7,0.0,True,True,0.0504428289478055,2.008880773125914,10.54002260926306,True,True,True,True,True,
quark,CFL7,Q_CFL7,0.01,True,True,0.0504733133060416,2.0113898202415665,10.547118524553383,True,True,True,True,True,
quark,CFL7,Q_CFL7,0.02,True,True,0.0505028742634247,2.0139022538899267,10.55416259366904,True,True,True,True,True,
quark,CFL7,Q_CFL7,0.03,True,True,0.0505315509765035,2.016418041151005,10.5611548767661,True,True,True,True,True,
quark,CFL7,Q_CFL7,0.04,True,True,0.0505593805519664,2.018937149191312,10.568095445924532,True,True,True,True,True,
quark,CFL7,Q_CFL7,0.05,True,True,0.0505863981692571,2.021459545181868,10.574984384710422,True,True,True,True,True,
quark,CFL7,Q_CFL7,0.09,True,True,0.0506869913974711,2.031610823925141,10.60201792676796,True,True,True,True,True,
quark,CFL9,Q_CFL9,-0.05,True,True,0.0509258486229213,2.3459665683611344,11.324762345412454,True,True,True,True,True,
quark,CFL9,Q_CFL9,-0.02,True,True,0.0510322899723188,2.368189515176917,11.362761782805883,True,True,True,True,True,
quark,CFL9,Q_CFL9,0.0,True,True,0.0510959551367388,2.3830926525286955,11.386214879037436,True,True,True,True,True,
quark,CFL9,Q_CFL9,0.01,True,True,0.0511258630609752,2.390595223482889,11.397400949681469,True,True,True,True,True,
quark,CFL9,Q_CFL9,0.02,True,True,0.051154589092352,2.398125895251993,11.408238044872618,True,True,True,True,True,
quark,CFL9,Q_CFL9,0.03,True,True,0.0511822018210305,2.405666136855811,11.418735047104654,True,True,True,True,True,
quark,CFL9,Q_CFL9,0.04,True,True,0.0512087646431287,2.413215379226042,11.428901072289188,True,True,True,True,True,
quark,CFL9,Q_CFL9,0.05,True,True,0.0512343362410822,2.420773058875515,11.438745408391435,True,True,True,True,True,
quark,CFL9,Q_CFL9,0.09,True,True,0.0513277418294479,2.451277841064477,11.47509482750856,True,True,True,True,True,
